chunk_id,chunk_string,source,metadata_tags
red_flags_1_0011,"with a thorough patient Key Clinical Messages • There is a lack of evidence to support the informativeness of the majority of red flags commonly used in clinical practice. • Few red flags, when used in isolation, are informative. Combinations of red flags demonstrate promise, but this work requires further validation. • Red flags remain the best tools at the clinician’s disposal to raise suspicion of serious spinal pathology, when used within the context of a thorough subjec- tive patient history and physical examination. • Clinicians should consider both the evidence to support red flags and the indi- vidual profile of the person’s determinants of health (eg, age, sex) to decide the level of concern (index of suspicion) for presence of serious spinal pathology. Journal of Orthopaedic & Sports Physical Therapy® Downloaded from www.jospt.org at on May 21, 2026. For personal use only. No other uses without permission. Copyright © 2020 Journal of Orthopaedic & Sports Physical Therapy®. All rights reserved.",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=11;chunk_method=pypdf
red_flags_1_0012,"352 | july 2020 | volume 50 | number 7 | journal of orthopaedic & sports physical therapy [ position statement ] history and an appropriate physical ex - amination. Serious spinal pathology is associated with increasing age, although serious pathology can affect all ages. 33 Populations around the world are ag - ing, which presents challenges, as peo - ple with increased medical complexity and morbidities present more often to musculoskeletal services. Consequently, therapists may see more patients with serious pathology. Goal of the International Framework Given the paucity of high-quality evi - dence to guide practice, we built this framework on multiple perspectives, including synthesizing the current re - search data, expert consensus and opin - ion, and steering-group consensus, to reflect an evidence-based practice ap - proach.77 The framework is intended to provide clinicians with a clear clinical- reasoning pathway to clarify the role of red flags in identifying serious spinal pathology. Decision T ool for Early Identification of Serious Spinal Pathology The basis of our framework is a decision tool to help clinicians identify serious spi- nal pathology. The tool has 3",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=12;chunk_method=pypdf
red_flags_1_0013,"steps: 1. Determine your level of concern. Con- sider the evidence to support red flags and the individual profile of the per - son’s health determinants (eg, age, sex) to decide your level of concern (your in- dex of suspicion) about the presence of serious pathology (FIGURE 1). 2. Decide on your clinical action, based on your level of concern determined in step 1 (FIGURE 2). 3. Consider the pathway for emergency/ urgent referral. Know your local refer- ral pathways and pathways to access specialist care if indicated (FIGURE 3). Prioritize Serious Spinal Pathologies In 2016, the member organizations of IF- OMPT, a subgroup of the World Confed- eration for Physical Therapy, identified 4 priority areas for discussion and research on red flags (incidence data presented in TABLE 1): CES, spinal fracture, malignan - cy, and spinal infection. The following sections summarize the red flags for each of the 4 prioritized se - rious spinal pathologies and outline risk factors, symptoms, signs, and initial in - vestigations. Each section concludes with a series of clinical-reasoning scenarios. Red ﬂags (supported by high- quality evidence) Red ﬂags (supported by consensus only) Pr evalence",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=13;chunk_method=pypdf
red_flags_1_0014,"of pathology Symptom progression Response to care Repeat visit? Comorbidities Urgency (consequence of delay) versus Red ﬂags in combination Consider within the context of the patient proﬁle (eg, sex, age, race) Level of concern Evidence Clinical proﬁle FIGURE 1. Decision tool for early identification of potential serious spinal pathology, step 1. Consider the evidence to support red flags, together with the clinical and patient profiles, when determining your level of concern for serious pathology. LOW HIGH No concerning features Few concerning features Some concerning features Some concerning features Decision: Begin a trial of therapy Revise management if clinical features change unexpectedly Decision: Begin a trial of therapy with watchful waiting Begin a trial of therapy Revise management if clinical features change unexpectedly Monitor progress closely (vigilance) Decision: URGENT referral DO NOT begin a trial of therapy Further investigation or referral is warranted Decision: EMERGENCY referral DO NOT begin a trial of therapy Emergency referral is warranted Level of Concern FIGURE 2. Decision tool for early identification of potential serious spinal pathology, step 2. Decide",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=14;chunk_method=pypdf
red_flags_1_0015,"your clinical action based on your level of concern. Journal of Orthopaedic & Sports Physical Therapy® Downloaded from www.jospt.org at on May 21, 2026. For personal use only. No other uses without permission. Copyright © 2020 Journal of Orthopaedic & Sports Physical Therapy®. All rights reserved.",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=15;chunk_method=pypdf
red_flags_1_0016,"journal of orthopaedic & sports physical therapy | volume 50 | number 7 | july 2020 | 353 (For all the key definitions used in this document, see APPENDIX A , available at www.jospt.org). Method: Haute Autorité de Santé Consensus Method This framework combines an evidence synthesis and international expert con - sensus. We followed the Haute Autorité de Santé recommendations for the devel- opment of clinical guidelines.3 Phase 1 We reviewed systematic reviews and other key papers summarizing avail- able evidence related to red flags in 1 or more of the 4 key spinal pathologies (see APPENDIX B , available at www.jospt.org , for an evidence summary table). This led to the formulation of 4 international expert consensus questionnaires, 1 for each key pathology. Phase 2 Jisc Online Surveys (Jisc, Bris - tol, UK) was used to administer the 4 separate questionnaires developed in phase 1. The international expert group (100 experts from 19 countries) rated red flag statements based on the evidence presented (phase 1) and their own expe - rience. Each section reports separately on how many experts were involved in the consensus process for that section. Ano - Person referred with",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=16;chunk_method=pypdf
red_flags_1_0017,"musculoskeletal condition Few concerning features Some concerning features No concerning features Progress as expected T reat as planned and monitor symptoms Consider further investigation/ referral The timing of this will depend on the speciﬁc pathology, but may be urgent or same day/ emergency. Refer to condition-speciﬁc sections for details. If investigations are negative, consider further referral or restart treatment T reatment proceeds as expected and patient is discharged from care Progress as expected Not improving or new concerning features Consider watchful wait Initiate treatment and safety neta patient FIGURE 3. Decision tool for early identification of potential serious spinal pathology, step 3. Consider the pathway for emergency/ urgent referral if indicated. aSafety netting is a management strategy used for people who may present with possible serious pathology. These strategies should include advice on which signs and symptoms to look out for , which action to take if symptoms deteriorate, and the time frame within which action should be taken.37",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=17;chunk_method=pypdf
red_flags_1_0018,"TABLE 1 Prevalence Estimates for Key Pathologies When Presenting With Back Pain a Abbreviations: CES, cauda equina syndrome; ED, emergency department; LBP, low back pain; OCF, osteoporotic compression fracture. aValues are estimated point prevalence or incidence (where indicated). bInfective spondylitis in all settings: 0.0004% 21 (in developed countries). Primary Care Secondary Care T ertiary Care: ED T ertiary Care: Spine Center CES Estimated incidence (UK): 0.002%31 Back pain: 0.04%17 LBP: 0.4%66 Fracture: OCF LBP: 0.7%,35 3.0%,73 4.0%,41 4.1%,80 4.5%16 Left X-ray: 2.6%69 Back pain: 6.5%29 Left X-ray: 7 .3%,65 11.0%68 LBP: 5.6%66 Fracture: traumatic LBP: <1%41 Malignancy LBP: 0.0%,35 0.1%,19 0.2%,43 0.2%,26 0.6%,16 0.7%15 Nonmechanical pain: 0.7%41 Musculoskeletal pain: 7 .0%40 LBP: 0.1%68 LBP: 1.6%66 Lumbar restriction: 6.0%13 Infectionb Nonmechanical LBP: 0.01%41 LBP: 1.2%66 Postprocedural discitis represents up to 30% of all cases of pyogenic spondylodiscitis21 Journal of Orthopaedic & Sports Physical Therapy® Downloaded from www.jospt.org at on May 21, 2026. For personal use only. No other uses without permission. Copyright © 2020 Journal of Orthopaedic & Sports Physical",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=18;chunk_method=pypdf
red_flags_1_0019,"354 | july 2020 | volume 50 | number 7 | journal of orthopaedic & sports physical therapy [ position statement ] nymized responses were returned online using a rating scale between 1 and 9 (1 be- ing totally inappropriate, 9 being totally appropriate). All results were reviewed by the steering committee. We calculated the median score for each statement. Statements with a me - dian score of 7 or above were classed as consensus appropriate, and those with a median score of 3.5 or less were classed as consensus inappropriate. 3 Any re - maining items that had not gained con - sensus by this point were reviewed by the steering committee, and a consen - sus decision was then taken to either in - clude or exclude these items in the draft framework. Phase 3 The draft framework was de - veloped by the steering group based on a synthesis of the results from phases 1 and 2. Phase 4 The draft framework was pre - sented to an international peer-review group (70 individuals) for opinion on the content, independent of the people taking part in phase 2. The international peer-review group was invited to rate the content via an online questionnaire. The review group rated each section of the",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=19;chunk_method=pypdf
red_flags_1_0020,"framework based on the following criteria: • Applicability: relevance to the clinical practice • Acceptability: clinical usefulness or helpfulness • Readability: ease of reading They were also able to offer sugges - tions on changes/improvements. This peer-review group included chiroprac - tors, osteopaths, physical therapists, experts by experience, and member orga- nization delegates of the IFOMPT. The response rate of 41% included individuals from 13 countries. The median score for each section was calculated. All sections gained a median score of 7 or above and were therefore classed as appropriate ac- cording to the Haute Autorité de Santé method. All comments were reviewed by the steering committee and relevant changes made to the framework. Phase 5 Based on the phase 4 feedback, the steering group developed the final version of the clinical framework. Cauda Equina Syndrome The cauda equina comprises 20 nerve roots that originate from the conus medullaris at the base of the spinal cord. Cauda equina syndrome occurs as a result of compression of these neural structures. Cauda equina syndrome is challenging to diagnose and manage in a timely manner. It may present in any",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=20;chunk_method=pypdf
red_flags_1_0021,"clinical setting, and clinicians must effectively and efficiently reason through their findings to provide timely management. Timely diagnosis is essential to avoid life-changing outcomes such as ongoing bladder, bowel, and sex- ual dysfunction, along with psychosocial consequences.31 Literature and International Consen - sus Three key source papers were used to formulate the international consen - sus questionnaire for this section on CES18,28,31 ( APPENDIX B ). The question - naire was sent to 23 international ex - perts and contained 25 items ( TABLES 2 through 6). Epidemiology The incidence of CES in the United Kingdom has been estimated to be 0.002%.31 The overall prevalence of CES has been estimated to range from 1 in 33 000 to 1 in 100 000 persons.48 Point prevalence of CES as a cause of low back pain (LBP) is estimated at 0.04% in pri - mary care 17 and 0.4% in tertiary care. 66 Cauda equina syndrome is a complica - tion of approximately 2% of all herniated discs.18 The incidence of postoperative CES is estimated to be between 0.08% and 0.2%.42 Twenty-three percent of litigation claims for spinal surgery in England re - late to CES, according to an assessment of litigation",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=21;chunk_method=pypdf
red_flags_1_0022,"claims in England between 2013-2015 and 2015-2016.39 Risk Factors Compression of the cauda equina usually occurs as a result of a disc prolapse.18 However, any space-occupy - ing lesion could cause cauda equina com- pression. Relevant symptoms that can be precursors to CES are unilateral or bilat- eral radicular pain, dermatomal reduced sensation, and myotomal weakness. If symptoms progress from the pre - cursors described above, with any sug - gestion of changes in bladder or bowel function or saddle sensory disturbance, then suspect CES. Clinical cue cards and credit card–size patient information handouts can aid communicating sen - sitive, sometimes subtle but important symptoms,22 and should form the basis of your questioning. Clinical Picture If you suspect CES, perform a full neurological assessment to establish dermatome sensory loss, myotome weakness, or reflex changes. 28 A digital rectal examination is no lon - ger considered essential in a primary care setting in the United Kingdom. It is necessary in secondary care to evalu - ate loss of anal sphincter tone. Sensation to light touch and pinprick throughout the saddle region, including the but - tocks, inner thighs, and",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=22;chunk_method=pypdf
red_flags_1_0023,"perianal region, is a necessary test in any clinical situa - tion. These intimate objective tests must only be performed by an appropriately trained clinician, with a chaperone for the benefit of both the person and the TABLE 2 Number of Cauda Equina Syndrome Red Flags Gaining Consensus Number of Red Flags Questionnaire sent to 23 international experts 25 items reviewed • 18 items reached consensus as appropriate • 2 items reached consensus as inappropriate • 5 items had no consensus Steering committee reviewed results 20 items included in the framework (TABLES 3 through 6) (2 items combined) 4 items excluded (APPENDIX C) Journal of Orthopaedic & Sports Physical Therapy® Downloaded from www.jospt.org at on May 21, 2026. For personal use only. No other uses without permission. Copyright © 2020 Journal of Orthopaedic & Sports Physical Therapy®. All rights reserved.",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=23;chunk_method=pypdf
red_flags_1_0024,"journal of orthopaedic & sports physical therapy | volume 50 | number 7 | july 2020 | 355
clinician. Conduct the assessment while 
considering cultural sensitivities, local 
pathways, medicolegal frameworks, and 
state regulations.
People should be sent for emergency 
magnetic resonance imaging (MRI) 
and surgical opinion. Positive findings 
are likely to be accompanied by an ul -
trasound of the bladder. It is important 
to know your local care pathway so 
that people are managed appropriately. 
When a person does not currently have 
CES but there is a suspicion that he or 
she may later develop CES, it is essen -
tial that the person is “safety netted” 
(ie, informed about what to look out 
for and what to do if symptoms of CES 
develop).
CES Clinical-Reasoning Scenarios
Case 1
A woman is urgently referred to you with 
back pain. Within the wider detailed sub-
jective and objective examination, there",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=24;chunk_method=pypdf
red_flags_1_0025,"TABLE 3 Risk Factors for Cauda Equina Syndrome Abbreviations: CES, cauda equina syndrome; LSS, lumbar spinal stenosis; NA, not applicable. Risk Factor/Level of Evidence Context Further Questions Low Clinical Suspicion High Clinical Suspicion Herniated intervertebral disc Low The most common cause arises from a large central disc herniation at the L4-5 or L5-S1 level51 Those under 50 y of age carry a higher risk, as do obese people Relevant symptoms that can be a precursor to CES: • Unilateral or bilateral radicular pain and/ or • Dermatomal reduced sensation and/ or • Myotomal weakness11 How old are you? Do you have any leg pain? Where exactly is the pain in your legs (above or below knees)? Is the pain down both legs at the same time? Do you have any pins and needles or numbness in your legs, inner thighs, bottom, or genitals? Do you feel any weakness in your legs? No leg pain, normal neurology, and no CES symptoms • Unilateral or bilateral radicular pain and/ or dermatomal reduced sensation and/ or myotomal weakness • Reduced saddle sensation (subjective or objective pinprick) • Bladder disturbance • Bowel disturbance • Reduced anal tone/ absent squeeze • Sexual disturbance31",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=25;chunk_method=pypdf
red_flags_1_0026,"Presentations that increase the probability of acute threatened CES: • Back pain with - Presence of new saddle anesthesia, blad- der or bowel disturbance - Age, <50 y - Unilateral onset progressing to bilateral leg pain - Alternating leg pain - Presence of new motor weakness LSS Low The degenerative changes in the lumbar spine that are responsible for LSS have the potential to lead to a gradual compromise of the cauda equina nerve roots. This can result in slow-onset CES being overlooked or dismissed in older people11 CES symptoms associated with degenerative LSS are generally much less clear than with a herniated disc or claudication. A range of typical leg symptoms (eg, aching, cramping, tingling, and heaviness) provoked by walking and eased by sitting should be considered as important in LSS27 Can you describe any worsening symptoms, including your level of pain or symptoms in your legs? If 0 is no pain and 10 is the worst pain you have ever had, how low does the pain go ? How high does the pain go ? What makes it worse? What makes it better? Stable or no neuropathic leg symptoms Recurring and insidious but increasing back pain, with gradual onset of unilateral or bilateral",title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: 10.2519/jospt.2020.9971,corpus=red_flags;source_id=1;doc=1.pdf;chunk_index=26;chunk_method=pypdf
