source_nodes,askable,intent,fallback,synonyms
Point tenderness,yes,a small spot on the spine that is distinctly sore to press or touch,Is there a specific spot on your spine that is very tender when you press on it?,tender to touch; sore to press; one spot that's tender; bone tenderness; hurts when I poke it
Pain weight-bearing,yes,pain that is worse when standing or putting weight through the spine,Is your pain worse when you stand or put weight through your back?,hurts when I stand; worse on my feet; pain when I walk; can't bear weight; worse with standing
Neuro sensory deficit,yes,"numbness, tingling, pins and needles, or loss of feeling in a leg","Have you had any numbness, tingling, or loss of feeling in a leg?",numb leg; tingling down my leg; pins and needles in my leg; leg feels dead; electric shock down the leg
Previous cancer,yes,"any previous diagnosis of cancer, including which type if they mention it",Have you ever been diagnosed with cancer?,history of cancer; I had cancer; previous cancer; cancer treatment; survivor of cancer
Unexplained weight loss,yes,"losing weight without trying, dieting, or a known change in activity or medication",Have you been losing weight without trying?,losing weight without trying; unexplained weight loss; clothes are looser; dropped weight; losing weight for no reason
Refractory pain,yes,"back pain that has not improved despite appropriate rest, pain relief, or physiotherapy for several weeks","Has your back pain failed to improve with rest, pain relief, or physiotherapy?",not getting better; physio didn't help; pain not improving; failed treatment; still bad after weeks of care
Constant pain,yes,"pain that stays the same all the time and does not ease with rest, movement, or a change of position","Is your pain constant, without easing when you rest or change position?",pain all the time; never eases; constant ache; doesn't change; pain that never lets up
Immunosuppression,yes,"a condition or treatment that weakens the immune system, such as chemotherapy, transplant medicines, HIV, or repeated infections",Do you have a condition or take medicines that weaken your immune system?,chemotherapy; transplant medicines; HIV; get infections a lot; immunocompromised
Night pain,yes,back pain that wakes them at night and stops them getting back to sleep,Does the pain wake you at night and stop you getting back to sleep?,pain wakes me at night; night pain; can't get back to sleep from pain; pain at night; waking with pain
Recent surgery,yes,"recent surgery, especially spinal, abdominal, pelvic, or major orthopaedic surgery in the last few weeks","Have you had surgery recently, in the last few weeks?",just had surgery; recent operation; post-op; after my operation; surgery last month
Fever,yes,a fever or high temperature since the back pain started,Have you had a fever or high temperature since this back pain started?,fever; high temperature; feeling feverish; running a temperature; hot and unwell
Chills,yes,chills or shivering since the back pain started,Have you had chills or shivering since this back pain started?,chills; shivering; shaking chills; feeling shivery; rigors
Night sweats,yes,"sweating at night enough to soak clothes or bedding, since the back pain started","Have you been having night sweats, such as waking up soaked?",night sweats; wake up soaked; drenching sweats; sweating at night; sheets are wet
IV drug user,yes,"current or past injecting of recreational drugs, asked without judgement","Have you ever injected recreational drugs, currently or in the past?",injecting drugs; IV drugs; used needles; injected heroin; injecting
Abdominal pain,yes,"pain in the abdomen or groin, including pain that radiates from the back toward the groin",Have you had any pain in your abdomen or groin as well as your back?,stomach pain; pain in my belly; groin pain; abdominal pain; pain going into the groin
Cardiovascular disease,yes,"a history of heart disease, blocked arteries, or peripheral vascular disease",Have you been diagnosed with heart disease or circulation problems in your arteries?,heart disease; blocked arteries; peripheral vascular disease; coronary disease; circulation problems
Male sex,no,,,
Hypertension,yes,"high blood pressure, including whether it is long-standing or poorly controlled if they mention it",Do you have high blood pressure?,high blood pressure; hypertension; high BP; raised blood pressure; on blood pressure tablets
Family history of AAA,yes,"a parent, sibling, or child who had an abdominal aortic aneurysm","Has a parent, brother, sister, or child had an abdominal aortic aneurysm?",aneurysm in the family; parent had an aneurysm; family history of aneurysm; relative with AAA; aneurysm runs in the family
Hypercoagulability,no,,,
Venous stasis,no,,,
Endothelial injury,no,,,
Previous DVT,yes,a previous blood clot in the leg or a previous pulmonary embolism,Have you ever had a blood clot in the leg or a clot in the lung?,previous DVT; had a blood clot; clot in my leg; pulmonary embolism; previous PE
Calf redness,yes,"redness of the calf, especially on one side",Is either calf red or discoloured compared with the other?,red calf; calf looks red; red and warm calf; discoloured calf; calf is flushed
Calf pain,yes,"pain in the calf, especially on one side",Do you have pain in either calf?,calf pain; sore calf; ache in my calf; painful calf; calf hurts
Calf swelling,yes,"swelling of the calf or lower leg, especially on one side",Is either calf or lower leg more swollen than the other?,swollen calf; calf swelling; puffy lower leg; one leg more swollen; swollen ankle and calf
Prolonged bed rest,yes,being mostly in bed or unable to walk around for about three days or more,Have you been mostly in bed or unable to get around for several days?,stuck in bed; been in bed for days; bed rest; couldn't get up; immobilised
Movement-related pain,yes,"pain that changes with bending, twisting, sitting, standing, or other movement rather than staying constant","Does your pain change with movement, such as bending, twisting, sitting, or standing?",hurts when I move; worse with bending; pain with movement; changes with activity; mechanical pain
Pain relieved by rest,yes,pain that eases when they rest,Does your pain ease when you rest?,better with rest; eases when I rest; rest helps; improves with rest; sitting still helps
Activity-related onset,yes,"pain that started after ordinary activity such as lifting, bending, twisting, or gardening, without a major fall or crash","Did this pain start after lifting, bending, or another ordinary activity?",started after lifting; came on after bending; started in the garden; after twisting; started with activity
Mechanical loading,no,,,
Prior similar episodes,yes,previous similar episodes of back pain that settled with time or simple care,Have you had similar episodes of back pain before that settled on their own?,had this before; previous episodes; recurrent back pain; same thing last year; it settled last time
Lumbar stiffness,yes,stiffness or reduced movement in the lower back,"Does your lower back feel stiff, or is it hard to bend or twist?",stiff back; can't bend; limited movement; back is locked; reduced range of motion
Fluctuating pain,yes,pain that comes and goes or varies through the day rather than steadily worsening,"Does your pain come and go, or vary through the day, rather than staying the same?",comes and goes; varies through the day; waxing and waning; up and down; not always the same
Improves with conservative care,yes,"improvement with rest, simple pain relief, physiotherapy, or similar conservative care","Has your pain been improving with rest, pain relief, or physiotherapy?",better with physio; improving with treatment; rest and tablets are helping; responding to care; getting better with simple care
Prolonged sitting aggravates,yes,pain that is worse after sitting for a while,Does sitting for a while make your pain worse?,worse with sitting; sitting makes it worse; can't sit long; pain after sitting; sitting intolerance
Position change relief,yes,"pain that eases after changing posture, for example standing after sitting or lying on the side","Does changing position, such as standing up or lying on your side, ease the pain?",better when I change position; eases when I move; standing after sitting helps; changing posture helps; relieved by changing position
Heavy lifting,yes,"regular heavy lifting, or pain that started after lifting a heavy load","Do you regularly lift heavy loads, or did this start after heavy lifting?",heavy lifting; lifting heavy; I lift at work; picked up something heavy; heavy loads
