chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_11,"Clinical concept: diabetes, especially when poorly controlled, is a risk factor for vertebral fracture due to reduced bone health (Diabetes; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: diabetes, type 2 diabetes, type 1 diabetes, T2DM, diabetic, poorly controlled diabetes, high blood sugar, I have diabetes, type 2 diabetic, blood sugar is high, constantly thirsty, especially, poorly, controlled, risk, factor, fracture, due, reduced, bone, health, will, depend, present
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Diabetes, especially when poorly controlled, is a risk factor for vertebral fracture due to reduced bone health. Risk will depend on if diabetes is present, how well it is controlled, and whether there are other osteoporosis-related risks (steroids, age, prior fracture). Diabetes alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Diabetes,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_12,"Clinical concept: rheumatoid arthritis is a risk factor for vertebral (osteoporotic) fracture (Rheumatoid arthritis; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: rheumatoid arthritis, RA, inflammatory arthritis, rheumatoid, arthritis, risk, factor, osteoporotic, fracture, patients, may, also, have, long-term, corticosteroid, use, which, further, increases, confirm, trauma, history, worsening, pain
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Rheumatoid arthritis is a risk factor for vertebral (osteoporotic) fracture. Patients may also have long-term corticosteroid use, which further increases fracture risk. Rheumatoid arthritis alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Rheumatoid arthritis,RISK_FACTOR_FOR,both,Corticosteroids,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_13,"Clinical concept: smoking increases the risk of vertebral fracture, particularly heavy smoking (more than 20 cigarettes per day) (Smoking; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: smoking, smoker, tobacco, cigarettes, heavy smoking, I smoke, pack a day, increases, risk, fracture, particularly, heavy, more, than, per, day, exposure, worsens, bone, health, part, broader, risk-factor, profile
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Smoking increases the risk of vertebral fracture, particularly heavy smoking (more than 20 cigarettes per day). Tobacco exposure worsens bone health and is part of a broader risk-factor profile. Heavy smoking alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Smoking,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_14,"Clinical concept: osteoarthritis may increase clinical concern for vertebral fracture in combination with other red flags; isolated osteoarthritis is a weak stand-alone indicator (Osteoarthritis; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: osteoarthritis, OA, degenerative joint disease, arthritis, may, increase, clinical, concern, fracture, combination, isolated, weak, stand-alone, indicator
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Osteoarthritis may increase clinical concern for vertebral fracture in combination with other red flags; isolated osteoarthritis is a weak stand-alone indicator",2,low back,Fracture,Osteoarthritis,RISK_FACTOR_FOR,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_15,"Clinical concept: new or worsening neurologic motor symptoms (leg weakness, poor balance when walking, foot drop) alongside spinal pain raises concern for spinal cord compression as a result of vertebral fracture (Neuro motor deficit; SUGGESTIVE_OF;Fracture)
Synonyms and patient phrases: neuro motor deficit, leg weakness, foot drop, weak legs, difficulty walking, motor deficit, paralysis, legs feel weak, trouble walking, new, worsening, neurologic, motor, symptoms, leg, weakness, poor, balance, walking, foot, drop, alongside, pain, raises
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

New or worsening neurologic motor symptoms (leg weakness, poor balance when walking, foot drop) alongside spinal pain raises concern for spinal cord compression as a result of vertebral fracture.",2,low back,Fracture,Neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_16,"Clinical concept: low back point tenderness raises concern for vertebral fracture, especially when combined with concurrent bruising/abrasion and history of trauma (Point tenderness; SUGGESTIVE_OF;Fracture)
Synonyms and patient phrases: point tenderness, tenderness, tender to touch, localized tenderness, bone tenderness, very tender over, tenderness at site of fall, point, raises, concern, fracture, especially, combined, concurrent, bruising/abrasion, history, trauma, risk, factors, age, osteoporosis, weight-bearing, pain, sufficient
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Low back point tenderness raises concern for vertebral fracture, especially when combined with concurrent bruising/abrasion and history of trauma. Combine point tenderness with fracture risk factors (age, trauma, osteoporosis, weight-bearing pain) to determine triage urgency —tenderness alone is not sufficient to confirm fracture.",3,low back,Fracture,Point tenderness,SUGGESTIVE_OF,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_17,"Clinical concept: pain that is worse with weight-bearing is a common feature of vertebral fracture (Pain weight-bearing; SUGGESTIVE_OF;Fracture)
Synonyms and patient phrases: pain weight-bearing, pain with standing, pain when walking, weight-bearing pain, worse when standing, pain on standing, hurts when I stand, pain, worse, weight-bearing, common, feature, fracture, after, trauma, insufficiency, often, severe, localized, affected, area, pattern, supports, mechanical
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

Pain that is worse with weight-bearing is a common feature of vertebral fracture. After trauma or insufficiency fracture, pain is often severe and localized to the affected area. This pattern supports mechanical loading of an unstable vertebral segment. Combine with fracture risk factors (age, osteoporosis, trauma, steroids); weight-bearing pain alone is not diagnostic.",3,low back,Fracture,Pain weight-bearing,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_18,"Clinical concept: new or worsening neurologic sensory symptoms (electric shock-like pain, tingling, numbness, loss of proprioception) alongside spinal pain raises concern for spinal cord compression as a result of vertebral fracture (Neuro sensory deficit; SUGGESTIVE_OF;Fracture)
Synonyms and patient phrases: neuro sensory deficit, numbness, tingling, pins and needles, sensory loss, electric shock pain, radiculopathy, numbness in leg, tingling down leg, new, worsening, neurologic, sensory, symptoms, electric, shock-like, pain, loss, proprioception, alongside, raises, concern, cord, compression
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency

New or worsening neurologic sensory symptoms (electric shock-like pain, tingling, numbness, loss of proprioception) alongside spinal pain raises concern for spinal cord compression as a result of vertebral fracture.",2,low back,Fracture,Neuro sensory deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_19,"Clinical concept: a previous history of cancer is a major risk factor for spinal malignancy, including metastatic spinal disease (Previous cancer; RISK_FACTOR_FOR;Malignancy)
Synonyms and patient phrases: previous cancer, history of cancer, prior cancer, cancer survivor, metastatic cancer, malignancy history, breast cancer, prostate cancer, lung cancer, had cancer before, cancer history, previous, history, cancer, major, risk, factor, malignancy, including, metastatic, disease, most, common, cancers
Co-occurring red flags: Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

A previous history of cancer is a major risk factor for spinal malignancy, including metastatic spinal disease. The 5 most common cancers to metastasize are breast, prostate, lung, kidney, and thyroid. History of cancer alone does not confirm malignancy; combine with other red flags to guide triage urgency.",1,low back,Malignancy,Previous cancer,RISK_FACTOR_FOR,direct,-,yes,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_20,"Clinical concept: age over 50 years is an independent predisposing risk factor that increases susceptibility to malignancy (Age over 50; RISK_FACTOR_FOR;Malignancy)
Synonyms and patient phrases: age over 50, over 50, older than 50, elderly, aged 51, aged 60, my fifties, I am over 50, older adult, middle-aged and older, age, over, years, independent, predisposing, risk, factor, increases, susceptibility, malignancy
Co-occurring red flags: Previous cancer, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Age over 50 years is an independent predisposing risk factor that increases susceptibility to malignancy.",2,low back,Malignancy,Age over 50,RISK_FACTOR_FOR,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_21,"Clinical concept: unexplained weight loss is a worrying red-flag symptom that raises suspicion for malignancy (Unexplained weight loss; SUGGESTIVE_OF;Malignancy)
Synonyms and patient phrases: unexplained weight loss, weight loss, unintentional weight loss, losing weight, cachexia, lost weight without trying, clothes are looser, unexplained, weight, loss, worrying, red-flag, symptom, raises, suspicion, malignancy, necessary, rule, out, diet, change, increased, activity, medication
Co-occurring red flags: Previous cancer, Age over 50, Refractory pain, Constant pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Unexplained weight loss is a worrying red-flag symptom that raises suspicion for malignancy. It is necessary to rule out diet change, increased activity, or medication effects as potential benign causes of weight loss.",2,low back,Malignancy,Unexplained weight loss,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_22,"Clinical concept: lack of improvement in back pain despite appropriate conservative treatment (e (Refractory pain; SUGGESTIVE_OF;Malignancy)
Synonyms and patient phrases: pain not improving, refractory pain, failed conservative treatment, persistent pain, pain not getting better, physio did not help, lack, improvement, pain, despite, appropriate, conservative, treatment, activity, modification, analgesia, physiotherapy, raises, suspicion, malignancy, symptoms, persist, worsen
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Constant pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Lack of improvement in back pain despite appropriate conservative treatment (e.g. activity modification, analgesia, physiotherapy) raises suspicion for spinal malignancy when symptoms persist or worsen.",2,low back,Malignancy,Refractory pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_23,"Clinical concept: constant or steadily worsening pain that does not improve with position or activity is a red-flag pain profile for malignancy (Constant pain; SUGGESTIVE_OF;Malignancy)
Synonyms and patient phrases: constant pain, unrelenting pain, pain all the time, steady worsening pain, pain never stops, constant ache, constant, steadily, worsening, pain, improve, position, activity, red-flag, profile, malignancy, interpret, alongside, cancer, history, weight, loss, symptoms, isolation
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Constant or steadily worsening pain that does not improve with position or activity is a red-flag pain profile for malignancy. Interpret alongside cancer history, weight loss, and symptoms—not in isolation.",2,low back,Malignancy,Constant pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_24,"Clinical concept: immunosuppression from comorbidity or medication (e (Immunosuppression; RISK_FACTOR_FOR;Malignancy)
Synonyms and patient phrases: immunosuppressed, immunosuppression, weak immune system, HIV, immunosuppressants, recurrent infections, from, comorbidity, medication, diabetes, rheumatoid, disease, indicated, recurrent, infections, red-flag, risk, factor, malignancy
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Severe pain, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Immunosuppression from comorbidity or medication (e.g. diabetes, HIV, rheumatoid disease) or indicated by recurrent infections is a red-flag risk factor for malignancy.",3,low back,Malignancy,Immunosuppression,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_25,"Clinical concept: pain severity greater than 7/10 (on a 0–10 scale) has been reported in association with vertebral malignancy (Severe pain; ASSOCIATED_WITH;Malignancy)
Synonyms and patient phrases: severe pain, pain 7/10, pain 8/10, pain 9/10, pain 10/10, greater than 7/10, 7 out of 10, 8 out of 10, worst pain, severe, pain is an 8, 10 out of 10 pain, pain, severity, greater, than, scale, been, malignancy, specific, but, together, cancer, history
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Night pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Pain severity greater than 7/10 (on a 0–10 scale) has been reported in association with vertebral malignancy. Severe pain alone is not specific for malignancy, but used together with cancer history, age, and other red flags to guide triage urgency.",3,low back,Malignancy,Severe pain,ASSOCIATED_WITH,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_26,"Clinical concept: back pain that wakes you at night and prevents you from settling back to sleep is a red-flag symptom to consider in spinal malignancy, especially when pain is progressive, unfamiliar, and accompanied by prior cancer or unexplained weight loss (Night pain; SUGGESTIVE_OF;Malignancy)
Synonyms and patient phrases: night pain, pain at night, wakes at night, second half of the night, cannot get to sleep, nocturnal pain, pain wakes me at night, worse at night, cannot sleep due to pain, pain, wakes, you, night, prevents, from, settling, sleep, red-flag, symptom, consider, malignancy, especially, progressive, unfamiliar
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Severe pain, Smoking, Neuro motor deficit, Neuro sensory deficit

Back pain that wakes you at night and prevents you from settling back to sleep is a red-flag symptom to consider in spinal malignancy, especially when pain is progressive, unfamiliar, and accompanied by prior cancer or unexplained weight loss.",3,low back,Malignancy,Night pain,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_27,"Clinical concept: smoking increases the risk of vertebral malignancy, particularly heavy smoking (more than 20 cigarettes per day) (Smoking; RISK_FACTOR_FOR;Malignancy)
Synonyms and patient phrases: smoking, smoker, tobacco, cigarettes, heavy smoking, I smoke, pack a day, increases, risk, malignancy, particularly, heavy, more, than, per, day, exposure, linked, cancer, worsens, bone, health, part, broader
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Severe pain, Night pain, Neuro motor deficit, Neuro sensory deficit

Smoking increases the risk of vertebral malignancy, particularly heavy smoking (more than 20 cigarettes per day). Tobacco exposure is linked to cancer, worsens bone health, and is part of a broader risk-factor profile. Heavy smoking alone does not confirm malignancy—use it with cancer history, worsening pain, and other red flags to determine triage urgency.",3,low back,Malignancy,Smoking,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_28,"Clinical concept: new or worsening neurologic motor symptoms (leg weakness, poor balance when walking, foot drop) alongside spinal pain raises concern for spinal cord compression by tumour (Neuro motor deficit; SUGGESTIVE_OF;Malignancy)
Synonyms and patient phrases: neuro motor deficit, leg weakness, foot drop, weak legs, difficulty walking, motor deficit, paralysis, legs feel weak, trouble walking, new, worsening, neurologic, motor, symptoms, leg, weakness, poor, balance, walking, foot, drop, alongside, pain, raises
Co-occurring red flags: Previous cancer, Age over 50, Unexplained weight loss, Refractory pain, Constant pain, Immunosuppression, Severe pain, Night pain, Smoking, Neuro sensory deficit

New or worsening neurologic motor symptoms (leg weakness, poor balance when walking, foot drop) alongside spinal pain raises concern for spinal cord compression by tumour.",2,low back,Malignancy,Neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
