chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_1,Age over 50 RISK_FACTOR_FOR Fracture,2,low back,Fracture,Age over 50,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_44,Bladder dysfunction SUGGESTIVE_OF CES,2,low back,CES,Bladder dysfunction,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_45,Bowel dysfunction SUGGESTIVE_OF CES,2,low back,CES,Bowel dysfunction,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_46,Saddle anaesthesia SUGGESTIVE_OF CES,2,low back,CES,Saddle anaesthesia,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_47,Abdominal pain SUGGESTIVE_OF AAA,3,low back,AAA,Abdominal pain,SUGGESTIVE_OF,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_48,Cardiovascular disease RISK_FACTOR_FOR AAA,3,low back,AAA,Cardiovascular disease,RISK_FACTOR_FOR,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_49,Age over 50 RISK_FACTOR_FOR AAA,3,low back,AAA,Age over 50,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_50,Smoking RISK_FACTOR_FOR AAA,3,low back,AAA,Smoking,RISK_FACTOR_FOR,direct,Cardiovascular disease,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_51,Male sex RISK_FACTOR_FOR AAA,4,low back,AAA,Male sex,RISK_FACTOR_FOR,direct,-,no,no,"title: The Global and Regional Prevalence of Abdominal Aortic Aneurysms: A Systematic Review and Modeling Analysis | author: Song, Peige | year: 2023 | authority: Annals of Surgery | doi: https://doi.org/10.1097/SLA.0000000000005716",SRMA
r_52,Hypertension RISK_FACTOR_FOR AAA,4,low back,AAA,Hypertension,RISK_FACTOR_FOR,mediated,Cardiovascular disease,no,no,"title: The Global and Regional Prevalence of Abdominal Aortic Aneurysms: A Systematic Review and Modeling Analysis | author: Song, Peige | year: 2023 | authority: Annals of Surgery | doi: https://doi.org/10.1097/SLA.0000000000005716",SRMA
r_53,Diabetes RISK_FACTOR_FOR AAA,4,low back,AAA,Diabetes,RISK_FACTOR_FOR,mediated,Cardiovascular disease,no,no,"title: The Global and Regional Prevalence of Abdominal Aortic Aneurysms: A Systematic Review and Modeling Analysis | author: Song, Peige | year: 2023 | authority: Annals of Surgery | doi: https://doi.org/10.1097/SLA.0000000000005716",SRMA
r_54,Family history of AAA RISK_FACTOR_FOR AAA,3,low back,AAA,Family history of AAA,RISK_FACTOR_FOR,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_55,Hypercoagulability RISK_FACTOR_FOR DVT,5,low back,DVT,Hypercoagulability,RISK_FACTOR_FOR,direct,-,yes,no,"title: Patients with inferior vena cava thrombosis frequently present with lower back pain and bilateral lower-extremity deep vein thrombosis | author: Kraft, Christiane | year: 2013 | authority: European Journal of Vascular Medicine | doi: https://doi.org/10.1024/0301-1526/a000288",OBS
r_56,Venous stasis RISK_FACTOR_FOR DVT,6,low back,DVT,Venous stasis,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_57,Endothelial injury RISK_FACTOR_FOR DVT,6,low back,DVT,Endothelial injury,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_58,Previous DVT RISK_FACTOR_FOR DVT,6,low back,DVT,Previous DVT,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_59,Calf redness RISK_FACTOR_FOR DTV,6,low back,DTV,Calf redness,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_60,Calf pain RISK_FACTOR_FOR DVT,6,low back,DVT,Calf pain,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_61,Calf swelling RISK_FACTOR_FOR DVT,6,low back,DVT,Calf swelling,RISK_FACTOR_FOR,direct,-,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_62,Recent surgery RISK_FACTOR_FOR DVT,6,low back,DVT,Recent surgery,RISK_FACTOR_FOR,mediated,Endothelial injury,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_63,Prolonged bed rest RISK_FACTOR_FOR DVT,6,low back,DVT,Prolonged bed rest,RISK_FACTOR_FOR,mediated,Venous stasis,yes,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_64,Age over 50 RISK_FACTOR_FOR DVT,6,low back,DVT,Age over 50,RISK_FACTOR_FOR,direct,-,no,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_65,Diabetes RISK_FACTOR_FOR DVT,6,low back,DVT,Diabetes,RISK_FACTOR_FOR,mediated,Hypercoagulability,no,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
r_66,Hypertension RISK_FACTOR_FOR DVT,6,low back,DVT,Hypertension,RISK_FACTOR_FOR,mediated,Hypercoagulability,no,no,"title: Diagnosis of Venous Thromboembolism | author: Canas, Alicia | year: 2025 | authority: Medical Clinics | doi: https://10.1016/j.mcna.2025.01.006",SRMA
