source_id,stem_hash,split,auto_red_flag_family,lexicon_terms,token_count,has_agentclinic_osce,question,answer,clinician_include,clinician_grid,clinician_notes
awinml/medqa:train:273,c0ce1cab211138c8,train,trauma_fracture,low_back|lumbar|back_pain,65,False,"A 51-year-old woman comes to the physician because of progressively worsening lower back pain. The pain radiates down the right leg to the lateral side of the foot. She has had no trauma, urinary incontinence, or fever. An MRI of the lumbar spine shows disc degeneration and herniation at the level of L5–S1. Which of the following is the most likely finding on physical examination?",Weak achilles tendon reflex,,,
awinml/medqa:train:296,17817f824718b137,train,mechanical,low_back|spinal_stenosis|disc_herniation|ankylosing,91,False,"A 26-year-old woman presents with sudden-onset pain in her lower back. She says she was exercising in the gym several hours ago when she felt a sharp pain. The pain is radiating down the side of her leg and into her foot. On physical exam, her vital signs are as follows: HR 95, BP 120/70, T 37.2 degrees C. She has extreme pain shooting down her leg with a straight leg raise. Her sensation to light touch and pin-prick is intact throughout. Which of the following is the most likely diagnosis?",Disc herniation,,,
awinml/medqa:train:309,acf7031e587bd4a2,train,mechanical,low_back|back_pain,128,False,"A 47-year-old man presents to the clinic with a 10-day history of a sore throat and fever. He has a past medical history significant for ulcerative colitis and chronic lower back pain. He smokes at least 1 pack of cigarettes daily for 10 years. The father of the patient died of colon cancer at the age of 50. He takes sulfasalazine and naproxen. The temperature is 38.9°C (102.0°F), the blood pressure is 131/87 mm Hg, the pulse is 74/min, and the respiratory rate is 16/min. On physical examination, the patient appears tired and ill. His pharynx is erythematous with exudate along the tonsillar crypts. The strep test comes back positive. In addition to treating the bacterial infection, what else would you recommend for the patient at this time?",Colonoscopy,,,
awinml/medqa:train:330,01ace5d10c413ba2,train,malignancy,back_pain,71,False,"A 70-year-old man comes to the physician because of right-sided back pain, red urine, and weight loss for the last 4 months. He has smoked one pack of cigarettes daily for 40 years. A CT scan of the abdomen shows a large right-sided renal mass. Biopsy of the mass shows polygonal clear cells filled with lipids. Which of the following features is necessary to determine the tumor grade in this patient?",Degree of mitotic activity,,,
awinml/medqa:train:336,a3ce89b44bd5f1bf,train,mechanical,low_back|disc_herniation,105,False,"A 49-year-old man comes to the physician because of severe, shooting pain in his lower back for the past 2 weeks. The pain radiates down the back of both legs and started after he lifted a concrete manhole cover from the ground. Physical examination shows decreased sensation to light touch bilaterally over the lateral thigh area and lateral calf bilaterally. Patellar reflex is decreased on both sides. The passive raising of either the right or left leg beyond 30 degrees triggers a shooting pain down the leg past the knee. Which of the following is the most likely underlying cause of this patient's current condition?",Herniation of nucleus pulposus into vertebral canal,,,
awinml/medqa:train:357,35a11d829865df3c,train,trauma_fracture,vertebral_fracture|back_pain,155,False,"A 71-year-old African American man is brought to the emergency department with sudden onset lower limb paralysis and back pain. He has had generalized bone pain for 2 months. He has no history of severe illnesses. He takes ibuprofen for pain. On examination, he is pale. The vital signs include: temperature 37.1°C (98.8°F), pulse 68/min, respiratory rate 16/min, and blood pressure 155/90 mm Hg. The neurologic examination shows paraparesis. The 8th thoracic vertebra is tender to palpation. X-ray of the thoracic vertebrae confirms a compression fracture at the same level. The laboratory studies show the following:
Laboratory test
Hemoglobin 9 g/dL
Mean corpuscular volume 95 μm3
Leukocyte count 5,000/mm3
Platelet count 240,000/mm3
ESR 85 mm/hr
Serum
Na+ 135 mEq/L
K+ 4.2 mEq/L
Cl− 113 mEq/L
HCO3− 20 mEq/L
Ca+ 11.8 mg/dL
Albumin 4 g/dL
Urea nitrogen 38 mg/dL
Creatinine 2.2 mg/dL
Which of the following is the most likely mechanism underlying this patient’s vertebral fracture?",Proliferation of tumor cells,,,
awinml/medqa:train:370,a95a65e2de8edadf,train,malignancy,low_back|back_pain,40,False,"A 64-year-old male presents to his primary care physician. Laboratory work-up and physical examination are suggestive of a diagnosis of prostatic adenocarcinoma. A tissue biopsy is obtained, which confirms the diagnosis. Which of the following is indicative of metastatic disease?",New-onset lower back pain,,,
awinml/medqa:train:441,3dc0aeb6b4f4d0e4,train,confounder,confounder_dvt,198,False,"A 50-year-old woman comes to the physician because of multiple, ulcerative skin lesions that occur over various parts of her body. She reports that these rashes first appeared 6 months ago. They occur episodically and usually start as reddish spots, which then expand in size and ulcerate over the next ten days. They resolve spontaneously and reappear at another location a few days later. Over the past 6 months, has had multiple episodes of diarrhea. She has lost 8 kg weight over this period and feels tired constantly. She has not had fever. She was treated for deep venous thrombosis 3 years ago, and took medication for it for 6 months after the episode. Her vital signs are within normal limits. She appears pale and has multiple, tender, ulcerative skin lesions on her legs and buttocks. Her hemoglobin is 9.6 mg/dL, mean corpuscular volume is 82 μm3, and fingerstick blood glucose concentration is 154 mg/dL. Her serum glucagon is elevated. Abdominal ultrasonography reveals a 5.6 cm, well-demarcated, hypoechoic mass in the pancreatic body and multiple, small masses in the liver of variable echogenicity. Which of the following is the most appropriate next step in management of this patient?",Administration of octreotide,,,
awinml/medqa:train:539,2c75569e18d5aae1,train,trauma_fracture,confounder_dvt,136,False,"A 74-year-old man presents to the physician with a painful lesion over his right lower limb which began 2 days ago. He says that the lesion began with pain and severe tenderness in the area. The next day, the size of the lesion increased and it became erythematous. He also mentions that a similar lesion had appeared over his left lower limb 3 weeks earlier, but it disappeared after a few days of taking over the counter analgesics. There is no history of trauma, and the man does not have any known medical conditions. On physical examination, the physician notes a cordlike tender area with erythema and edema. There are no signs suggestive of deep vein thrombosis or varicose veins. Which of the following malignancies is most commonly associated with the lesion described in the patient?",Adenocarcinoma of pancreas,,,
awinml/medqa:train:541,ccbf4b24b330a270,train,mechanical,confounder_aaa,64,False,A 50-year-old Caucasian man presents for a routine checkup. He does not have any current complaint. He is healthy and takes no medications. He has smoked 10–15 cigarettes per day for the past 10 years. His family history is negative for gastrointestinal disorders. Which of the following screening tests is recommended for this patient according to the United States Preventive Services Task Force (USPSTF)?,Colonoscopy for colorectal cancer,,,
awinml/medqa:train:577,85bc10d4fbd1042c,train,mechanical,back_pain,139,False,"A previously healthy 32-year-old man comes to the physician because of a 1-week history of upper back pain, dyspnea, and a sensation of pressure in his chest. He has had no shortness of breath, palpitations, fevers, or chills. He emigrated from Ecuador when he was 5 years old. He does not smoke or drink alcohol. He takes no medications. He is 194 cm (6 ft 4 in) tall and weighs 70.3 kg (155 lb); BMI is 19 kg/m2. His temperature is 37.2°C (99.0°F), pulse is 73/min, respirations are 15/min, and blood pressure is 152/86 mm Hg in the right arm and 130/72 mg Hg in the left arm. Pulmonary examination shows faint inspiratory wheezing bilaterally. A CT scan of the chest with contrast is shown. Which of the following is the most likely underlying cause of this patient's condition?",Cystic medial necrosis,,,
awinml/medqa:train:579,faebd5aadda909b1,train,mechanical,back_pain,154,False,"A 30-year-old man comes to the emergency department because of the sudden onset of back pain beginning 2 hours ago. Beginning yesterday, he noticed that his eyes started appearing yellowish and his urine was darker than normal. Two months ago, he returned from a trip to Greece, where he lived before immigrating to the US 10 years ago. Three days ago, he was diagnosed with latent tuberculosis and started on isoniazid. He has worked as a plumber the last 5 years. His temperature is 37.4°C (99.3°F), pulse is 80/min, and blood pressure is 110/70 mm Hg. Examination shows back tenderness and scleral icterus. Laboratory studies show:
Hematocrit 29%
Leukocyte count 8000/mm3
Platelet count 280,000/mm3
Serum
Bilirubin
Total 4 mg/dL
Direct 0.7 mg/dL
Haptoglobin 15 mg/dL (N=41–165 mg/dL)
Lactate dehydrogenase 180 U/L
Urine
Blood 3+
Protein 1+
RBC 2–3/hpf
WBC 2–3/hpf
Which of the following is the most likely underlying cause of this patient's anemia?""",Absence of reduced glutathione,,,
awinml/medqa:train:645,17aadfc97553c8f3,train,mechanical,low_back,120,False,"A 72-year-old woman is brought to the emergency department because of increasing abdominal pain for 6 hours. The pain is dull and diffuse over her abdomen and radiates to her lower back bilaterally. Three weeks ago, she was diagnosed with atrial fibrillation and started on warfarin. Her only other medication is 1 g of acetaminophen daily for osteoarthritis of her knees. Her pulse is 87/min and blood pressure is 112/75 mm Hg. Physical examination shows abdominal tenderness to palpation at both lower quadrants. A CT scan of the abdomen shows a retroperitoneal mass and hazy margins of the surrounding structures. In addition to discontinuation of warfarin, the most appropriate next step in management is administration of which of the following?",Phytonadione and prothrombin complex concentrate,,,
awinml/medqa:train:690,4c28de5f0187a38a,train,trauma_fracture,vertebral_fracture,150,False,"A 16-year-old girl is brought to the physician by her mother because she has not had her menstrual period yet. At birth, she was found to have partial labial fusion and clitoromegaly. The mother reports that during the pregnancy she had noticed abnormal hair growth on her chin. The girl has severe acne. Three years ago, she broke her wrist after a minor trauma. Last year, she sustained a spinal compression fracture after lifting a box during a move. She currently takes oral isotretinoin and an oral contraceptive. The patient is at the 97th percentile for height and 50th percentile for weight. Physical examination shows numerous inflamed pustules on her face and upper back. Breast development is at Tanner stage I. The patient refuses to have a pelvic examination. A pelvic ultrasound shows ovaries with multiple cysts and a normal uterus. Which of the following is the most likely diagnosis?",Aromatase deficiency,,,
awinml/medqa:train:755,dd978c6ed0cda3da,train,mechanical,ankylosing|back_pain,127,False,"A 42-year-old woman comes to the physician because of stiffness and pain in multiple joints. She says that the fingers on both of her hands have become increasingly stiff and difficult to move over the past 8 months. She also complains of nails that break easily and look spotty as well as chronic back pain. She had a urinary tract infection a year ago that was treated with antibiotics. She is sexually active with 2 male partners and uses condoms inconsistently. Her vitals are within normal limits. A photograph of her right hand is shown. There are multiple, well-demarcated red plaques with silvery-white scales over the shins and back. Serum studies show a negative rheumatoid factor and ANA. Which of the following is the most likely diagnosis?","Psoriatic arthritis
""",,,
awinml/medqa:train:766,babdae333556ea1d,train,mechanical,low_back|back_pain,86,False,"A 28-year-old woman G1P0 presents at 38 weeks of gestation for a standard prenatal visit. She endorses occasional mild lower back pain but otherwise remains asymptomatic. Her past medical history is significant for HIV for which she is treated with azidothymidine (AZT). Her vital signs and physical exam are unremarkable. Her current HIV viral titer level is 1,400 copies. If she were to go into labor today, what would be the next and most important step for the prevention of vertical HIV transmission to the newborn?",Urge the patient to have a cesarean section delivery,,,
awinml/medqa:train:767,9f7f95210f7603ed,train,inflammatory,ankylosing,159,False,"A 52-year-old man comes to the physician because of right knee pain and swelling for 2 days. Four days ago, he tripped at home and landed on his knees. He reports an episode of diarrhea 3 weeks ago that resolved after 4 days without treatment. He has a history of hypertension and hypercholesterolemia, and was recently diagnosed with parathyroid disease. He drinks 1–2 ounces of whiskey daily and occasionally more on weekends. His brother has ankylosing spondylitis. Vital signs are within normal limits. Examination of the right leg shows an abrasion below the patella. There is swelling and tenderness of the right knee; range of motion is limited by pain. Arthrocentesis of the right knee joint yields 15 mL of cloudy fluid with a leukocyte count of 26,300/mm3 (91% segmented neutrophils). Microscopic examination of the synovial fluid under polarized light shows rhomboid-shaped, weakly positively birefringent crystals. Which of the following is the strongest predisposing factor for this patient's condition?",Hyperparathyroidism,,,
awinml/medqa:train:806,db8be1d3fef545aa,train,confounder,confounder_dvt,200,False,"A 64-year-old woman presents to the emergency room with complaints of severe, whole-body itching. She states that she first noticed her symptoms while in the bathtub at home. She has never had symptoms like this before. However, over the previous several months she has had episodes of severe joint swelling and pain in her hands as well as redness, burning pain, and swelling of her hands and feet. Her past medical history is significant for type II diabetes mellitus, hypertension, and osteoporosis for which she takes metformin, enalapril, and alendronate, respectively. In addition, she was found to have a deep vein thrombosis of her left leg three months prior to presentation. The patient’s temperature is 98.6°F (37.0°C), pulse is 80/min, blood pressure is 135/85 mmHg, and respirations are 13/min. Physical exam is notable for a woman in discomfort with excoriations over the skin on her forearms. The patient’s laboratory tests are shown below.

Serum:
Na+: 135 mEq/L
Cl-: 100 mEq/L
K+: 5.0 mEq/L
HCO3-: 22 mEq/L
BUN: 19 mg/dL
Glucose: 130 mg/dL
Creatinine: 1.0 mg/dL

Hematocrit: 64%
Leukocyte count: 19,000 cells/mm^3 with normal differential
Platelet count: 900,000/mm^3

What is the best next step in treatment of this patient's underlying condition?",Hydroxyurea,,,
awinml/medqa:train:872,5c608805c49a7abe,train,malignancy,low_back|back_pain,180,False,"A 38-year-old man presents to his primary care provider for abdominal pain. He reports that he has had a dull, burning pain for several months that has progressively gotten worse. He also notes a weight loss of about five pounds over that time frame. The patient endorses nausea and feels that the pain is worse after meals, but he denies any vomiting or diarrhea. He has a past medical history of hypertension, and he reports that he has been under an unusual amount of stress since losing his job as a construction worker. His home medications include enalapril and daily ibuprofen, which he takes for lower back pain he developed at his job. The patient drinks 1-2 beers with dinner and has a 25-pack-year smoking history. His family history is significant for colorectal cancer in his father and leukemia in his grandmother. On physical exam, the patient is moderately tender to palpation in the epigastrium. A fecal occult test is positive for blood in the stool.

Which of the following in the patient’s history is most likely causing this condition?",Medication use,,,
awinml/medqa:train:900,1b8a72c992fd5d64,train,mechanical,back_pain,103,False,"A 32-year-old woman comes to the physician because she has been unable to conceive for 2 years. The patient also reports monthly episodes of pelvic and back pain accompanied by painful diarrhea for 6 years. She takes naproxen for the pain, which has provided some relief. Menses have occurred at regular 28-day intervals since menarche at the age of 11 years and last for 7 days. She is sexually active with her husband and does not use contraception. Pelvic and rectal examination shows no abnormalities. A hysterosalpingogram is unremarkable. Which of the following is the most likely underlying cause of this patient's symptoms?",Endometrial tissue outside the uterine cavity,,,
awinml/medqa:train:908,0cd581d187ba5092,train,mechanical,lumbosacral|back_pain,86,False,"A 54-year-old man presents to his primary care physician for back pain. His back pain worsens with standing for a prolonged period of time or climbing down the stairs and improves with sitting. Medical history is significant for hypertension, type II diabetes mellitus, and hypercholesterolemia. Neurologic exam demonstrates normal tone, 5/5 strength, and a normal sensory exam throughout the bilateral lower extremity. Skin exam is unremarkable and dorsalis pedis and posterior tibialis pulses are 3+. Which of the following is the best next step in management?",MRI of the lumbosacral spine,,,
awinml/medqa:train:949,5bafcd8aa918dbb8,train,mechanical,back_pain,172,False,"A 59-year-old man comes to the physician because of a painful, burning red rash on his face and hands, which developed 30 minutes after going outside to do garden work. He wore a long-sleeved shirt and was exposed to direct sunlight for about 10 minutes. The patient is light-skinned and has a history of occasional sunburns when he does not apply sunscreen. The patient was diagnosed with small cell lung carcinoma 2 months ago and is currently undergoing chemotherapy. He is currently taking demeclocycline for malignancy-associated hyponatremia and amoxicillin for sinusitis. He has also had occasional back pain. He takes zolpidem and drinks 1–2 glasses of brandy before going to sleep every night. He has smoked a pack of cigarettes daily for 20 years. His pulse is 72/min and his blood pressure is 120/75 mm Hg. Physical examination shows prominent erythema on his forehead, cheeks, and neck. Erythema and papular eruptions are seen on the dorsum of both hands. Which of the following is the most likely cause of this patient's symptoms?",Use of demeclocycline,,,
awinml/medqa:train:1006,d8a8a94f6b341130,train,mechanical,low_back|lumbar|back_pain,187,False,"A 71-year-old African American man with a history of prostatic adenocarcinoma presents to his oncologist with low back pain. He was diagnosed with non-resectable prostatic adenocarcinoma 4 years ago. He has undergone radiation therapy and chemotherapy. Over the past 3 months, he has developed constant mild non-radiating low back pain that occasionally wakes him up from sleep. He denies any recent falls or trauma. His past medical history is notable for hypertension, diabetes mellitus, coronary artery disease, and gout. He also has a history of thyroid cancer and underwent thyroidectomy 5 years ago. He takes lisinopril, metoprolol, aspirin, metformin, and allopurinol. He has a 40-pack-year smoking history and drinks alcohol socially. His temperature is 99.2°F (37.3°C), blood pressure is 150/85 mmHg, pulse is 84/min, and respirations are 18/min. On exam, he is well-appearing and in no acute distress. He is mildly tender to palpation along the lumbar vertebral spinous processes. A computerized tomography (CT) scan of the lumbar spine demonstrates a blastic and sclerotic lesion in the L5 vertebral body. Which of the following findings would most likely be seen on a serum study of this patient?","Normal calcium, normal phosphate, increased alkaline phosphatase, and normal parathyroid hormone",,,
awinml/medqa:train:1015,33c1574405d7d00b,train,trauma_fracture,low_back|lumbar|back_pain,140,False,"A 56-year-old man comes to the clinic complaining of back pain for the past 1 month. The pain is described as a dull ache that intensifies intermittently to an 8/10 in severity about 1-2 times a day. It intensified about 2 weeks ago following a fall during a ski trip. He reports that he noticed some pain at his buttocks and lower back following the fall but he wasn’t bothered by it. Hot packs and Tylenol seem to alleviate the pain somewhat. He denies lower extremity weakness, loss of sensation, fever, incontinence, or prior cancers; however, he reveals that his cousin was recently diagnosed with prostate cancer. Physical examination demonstrates normal range of motion and diffuse tenderness at the L4/L5 region with no point tenderness or vertebral step-offs. What is the next best step in the management of this patient?",Exercise therapy with NSAIDs/acetaminophen,,,
awinml/medqa:train:1055,050f7ee3c683ff5b,train,confounder,low_back|back_pain,108,False,"A 45-year-old male patient with a history of recurrent nephrolithiasis and chronic lower back pain presents to the ER with severe, sudden-onset, upper abdominal pain. The patient is febrile, hypotensive, and tachycardic, and is rushed to the OR for exploratory laporotomy. Surgery reveals that the patient has a perforated gastric ulcer. Despite appropriate therapy, the patient expires, and subsequent autopsy reveals multiple ulcers in the stomach, duodenum, and jejunum. The patient had been complaining of abdominal pain and diarrhea for several months but had only been taking ibuprofen for his lower back pain for the past 3 weeks. What is the most likely cause of the patient's presentation?",A gastrin-secreting tumor of the pancreas,,,
awinml/medqa:train:1078,901f0765d361307c,train,mechanical,low_back,246,False,"A 13-year-old African American boy with sickle cell disease is brought to the emergency department with complaints of abdominal pain over the last 24 hours. The pain is situated in the right upper quadrant and is sharp in nature with a score of 8/10 and radiates to tip of the right scapula. He also complains of anorexia and nausea over the past 2 days. He has been admitted into the hospital several times for pain episodes involving his legs, hands, thighs, lower back, and abdomen. His last hospital admission was 4 months ago for acute chest pain, and he was treated with antibiotics, analgesics, and intravenous fluid. He takes hydroxyurea with occasional red blood cell exchange. Both of his parents are in good health. Temperature is 38°C (100.4°F), blood pressure is 133/88 mm Hg, pulse is 102/min, respiratory rate is 20/min, and BMI is 18 kg/m2. On examination, he is in pain with a tender abdomen with painful inspiration. Soft palpation of the right upper quadrant causes the patient to cry out in pain.
Laboratory test
Complete blood count
Hemoglobin 8.5 g/dL
MCV 82 fl
Leukocytes 13,500/mm3
Platelets 145,000/mm3
Basic metabolic panel
Serum Na+ 135 mEq/L
Serum K+ 3.9 mEq/L
Serum Cl- 101 mEq/L
Serum HCO3- 23 mEq/L
Liver function test
Serum bilirubin 2.8 mg/dL
Direct bilirubin 0.8 mg/dL
AST
30 U/L
ALT 35 U/L
Serum haptoglobin 23 mg/dL (41–165 mg/dL)
Ultrasonography of abdomen shows the following image. What is the pathogenesis of this ultrasound finding?",Chronic hemolysis,,,
awinml/medqa:train:1177,be2a8a33349398b9,train,ces,low_back|sacroiliac|saddle|back_pain,96,False,"A 23-year-old man complains of lower back pain that began approximately 6 months ago. He is unsure why he is experiencing this pain and notices that this pain is worse in the morning after waking up and improves with physical activity. Ibuprofen provides significant relief. He denies bowel and bladder incontinence or erectile dysfunction. Physical exam is notable for decreased chest expansion, decreased spinal range of motion, 5/5 strength in both lower extremities, 2+ patellar reflexes bilaterally, and an absence of saddle anesthesia. Which of the following is the most appropriate next test for this patient?",Radiograph sacroiliac joint,,,
awinml/medqa:train:1261,5a9db7ca9ee44798,train,trauma_fracture,low_back|back_pain,137,False,"A 48-year-old woman presents to the emergency room because of severe back pain after a fall. She says that she was walking home from work when she slipped on a patch of ice on the sidewalk. Since she did not have anything to hold onto, she fell backwards and landed on her posterior iliac crests bilaterally. Immediately after the fall, she started experiencing back pain and tenderness that concerned her enough to call for an ambulance. Her past medical history is significant for arthritis, diabetes, and hypertension. On arrival, her temperature is 99°F (37.2°C), blood pressure is 129/86 mmHg, pulse is 112/min, respirations are 19/min. Physical exam reveals tenderness to palpation over the middle of her lower back. A drug that may have predisposed this patient to this outcome most likely has which of the following mechanisms?",Inhibition of leukotriene and prostaglandin production,,,
awinml/medqa:train:1296,8c48c9434cfc84f6,train,malignancy,low_back|lumbar|back_pain,96,False,"A 62-year-old man with prostate cancer comes to the physician because of low back pain for 2 weeks and a 4.5-kg (10-lb) weight loss. Physical examination shows localized tenderness over the lumbar spine. An x-ray of the lumbar spine shows several osteoblastic lesions at the level of L2 and L4 vertebrae. Microscopic examination of a bone biopsy specimen from the L4 vertebra shows irregular bone trabeculae and star-shaped cells with long, cytoplasmic processes located deep within the lacunae. Exchange of nutrients and waste products between these cells most likely occurs through which of the following structures?",Macula communicans,,,
